CREB3	FOSB
GLI3	BMP4
ELK1	CCND1
ATF6B	PCNA
CREB3L4	IL8
FOS	MMP9
IRF3	IFNB1
SMAD3	MYC
MAPK10	JUN
CREB3L2	PCNA
CREBBP	ENO2
CREBBP	ENO3
CREBBP	GAPDH
CREBBP	ANGPT1
CREBBP	HK1
CREBBP	PFKFB3
CREBBP	SLC2A1
EP300	ENO2
EP300	ENO3
EP300	GAPDH
EP300	ANGPT1
EP300	HK1
EP300	PFKFB3
EP300	SLC2A1
HIF1A	ENO2
HIF1A	ENO3
HIF1A	GAPDH
HIF1A	ANGPT1
HIF1A	HK1
HIF1A	PFKFB3
LEF1	CCND2
LEF1	CCND3
TCF7	AXIN2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	NKD1
TEAD1	CCND1
TEAD4	BIRC2
TEAD4	CCND2
TEAD3	SOX2
TCF7L1	SOX2
TEAD2	BIRC5
SMAD2	SLC2A1
CREB3L4	MITF
MITF	TYRP1
RBPJL	HES1
TP53	PIDD
TP53	PERP
JUN	VEGFC
MYC	MMP2
NFKB1	TRAF3
NFKB2	TRAF1
CREB1	MCL1
ATF2	MCL1
FOXO3	PCK2
PPARA	CYP4A11
PPARA	ME1
PPARA	ANGPTL4
PPARD	CPT1C
PPARG	CPT1B
PPARG	SCD
PPARG	SCD5
RXRA	CPT2
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	ACOX3
RXRB	ADIPOQ
RXRG	FABP4
RXRG	FABP3
ELK1	EGR1
MAPK1	IL8
MYC	CDK6
CREBBP	CDKN2B
SMAD5	ID4
SMAD9	ID1
FOS	IL12B
FOS	CCL4L2
IRF3	CXCL10
IRF3	CXCL9
IRF5	IL12A
IRF5	IL12B
IRF7	IFNA4
IRF7	IFNA5
IRF7	IFNA10
IRF7	IFNA14
STAT1	CXCL9
NFYB	HLA-DQA2
MAPK12	IL1B
USF1	B2M
SP1	CD14
SP3	CDKN1A
STAT5A	IFNG
PPARG	MMP9
USF2	PTPN6
RARB	S100A8
RARG	S100A8
NFKB1	SAA2
RELA	SAA2
SPI1	SCARB2
JUN	SFTPA1
SP1	SOD1
POU2F2	SPP1
SP1	SPP1
CREB1	TF
ESR1	TFF1
EGR1	TFPI2
CREB1	TH
USF1	THBS1
STAT3	TIMP1
TFAP2A	TIMP1
CEBPB	TNF
CEBPD	TNF
EGR4	TNF
SMAD2	TNNC1
E2F4	TOP1
TP53	TP53
USF1	TP53
FOS	TSHB
JUN	TSHB
JUN	TXN
ERG	VWF
