TPO	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
MAPK1	STAT3
MAPK1	STAT1
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
HRAS	FOS
ASS1	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
NOS3	CREB1
MAPK1	SMAD4
HRAS	MAPK8
MAPK8	JUND
MAPK8	JUNB
MAPK1	SMAD3
MAPK1	RELA
MAPK1	NFKB1
MAPK1	ELK1
ELK1	EGR1
ETS1	SPI1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
STAT3	STAT4
MAP3K1	CHUK
CHUK	IRF7
STAT1	MYD88
MAPK1	TP53
GOT1	ADSSL1
ADSSL1	ADSL
ADSL	PDE3B
PDE3B	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
MAPK1	MYC
PRKACA	PPARA
JUN	CCND3
IRF3	IFNB1
MAPK8	JUN
CREB3L3	PCNA
CREBBP	ANGPT1
CREBBP	ANGPT4
CREBBP	TIMP1
EP300	ANGPT1
EP300	ANGPT4
EP300	TIMP1
HIF1A	ANGPT1
HIF1A	ANGPT4
SOS1	SPRED2
STAT4	SOCS1
STAT5B	CCND1
VDR	ATP2B1
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELA	TRAF1
RELB	CCL21
PIK3R5	AKT1
PIK3CD	AKT1
PIK3CD	PDPK1
PIK3R2	AKT2
PLCG2	EGFR
ETS1	FIGF
IRF1	IL12A
IRF1	IL12B
PPARA	ACADM
PPARA	APOC3
PPARG	PCK2
PPARG	ANGPTL4
RXRA	PLIN1
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	EHHADH
RXRB	ACSL3
RXRB	ACSL4
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	CPT1B
RXRG	CYP27A1
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQB1
MAPK11	TNF
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	LOC100507714
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
USF1	APEX1
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
NFKB1	B2M
SP2	CD14
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
STAT1	EGFR
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
EGR1	RELA
RELA	SAA2
PPARD	SERPINE1
SMAD2	SP1
ESR1	TFF1
ATF1	TG
ETS1	TIMP1
CEBPD	TNF
ETS1	TNNC1
EGR1	TP53
JUN	TSHB
PAX1	VHL
