SLC12A2	PRKACA
PRKACA	MAPK1
MAPK1	ETS1
ETS1	SPI1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB1
NFKB1	HIF1A
NFKB1	TP53
PRKACA	EP300
CREBBP	ARNT
MAPK1	SMAD4
MAPK1	ETS2
CREB5	BDNF
CREB1	IL8
CREB5	PCNA
CREBBP	HKDC1
EP300	HKDC1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	PFKFB3
ARNT	PFKL
MAPK1	CDK4
VDR	ATP2B1
EPAS1	SLC2A1
NFKB2	TRAF6
NFKB2	BIRC7
PPARA	EHHADH
PPARA	FABP1
PPARG	ACSL3
PPARG	ACSL4
MYD88	IFNA8
NFYB	HLA-DPA1
MAPK1	TNF
RFX5	LOC100507714
NFAT5	PTGS2
SP3	ABCA1
ETS1	CD79B
POU2F1	CD79B
SP3	CD83
RELA	COL1A1
SP1	COL1A1
USF1	FBP1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
CEBPB	IL4
CREB1	REN
ETS1	SPP1
JUNB	TIMP1
NFIC	TP53
