DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	HRAS
HRAS	JUN
MAPK1	TP53
MAPK1	CREB1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
ADRA1A	GNAQ
GNAQ	HRAS
CREBBP	TP53
CRTC2	CREB1
PRKAG2	MTOR
MTOR	PPARG
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
CALM1	CAMK2A
CAMK2A	CREBBP
CALM1	HRAS
HRAS	MAPK1
CAMK2A	CREB1
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM2	CAMK2A
CALM2	HRAS
CALM3	CAMK2A
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PLCD3	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
GLI3	WNT4
MITF	TYRP1
TP53	SESN2
NFKB2	TRAF1
PPARA	CYP4A11
PPARG	CPT1B
CREB1	HLA-DPB1
MAPK1	TNF
MYB	TSC22D3
MYBL1	TSC22D3
CEBPB	ABCB1
POU2F1	HIST2H2BE
ERG	MMP9
