HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD2	E2F4
MAPK1	SMAD4
SMAD2	WWTR1
MAPK1	TP53
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	STAT3
MAPK1	ESR1
HRAS	JUN
RB1	E2F2
RB1	E2F3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	MYC
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
LEF1	PPARD
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
HRAS	MAPK14
MAPK14	CEBPB
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ETS1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
NFKB1	MYB
MAPK1	ELK1
ELK1	EGR1
MAPK14	MAX
PRKACA	CREM
NFKB1	NFKB2
MAPK1	CREB3
CREB3	ATF1
CREBBP	EPAS1
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ATF2
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	FOS
PRKACA	XBP1
XBP1	CEBPA
MYC	ZBTB17
MYC	PIAS2
JUP	MYC
JUP	CCND1
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP2
GLI3	BMP4
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
CLOCK	PER2
FOSB	NFKB1
MAPK14	CXCL1
ELK1	BIRC2
NFAT5	TNF
EGR3	FASLG
NFKB1	TNF
RELA	MMP9
CREB5	IL8
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	PGF
CREBBP	VEGFC
EP300	FIGF
EP300	SERPINE1
EP300	PGF
EP300	VEGFC
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	PGK1
ARNT	EDN1
ARNT	EGF
ARNT	ENO1
ARNT	FLT1
ARNT	LDHA
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
YAP1	BIRC2
YAP1	ID3
YAP1	ID4
YAP1	SNAI2
YAP1	AXIN2
YAP1	NKD1
WWTR1	BBC3
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
STAT4	SOCS2
STAT4	CCND3
STAT5A	MYC
STAT5A	SOCS5
STAT5B	SOCS1
STAT5B	CCND2
STAT6	SOCS7
PAX6	PDX1
HNF1A	HNF4G
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
TP53	PERP
ETS1	IL8
FOS	VEGFA
JUN	MMP9
CREB3	MCL1
CREB3L3	MCL1
PPARA	SLC27A1
PPARD	PDPK1
PPARG	ACSL5
RXRA	FABP3
RXRA	APOA1
RXRA	APOA2
RXRA	ACADM
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
CREB1	HLA-DPB1
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFYC	HLA-DPA1
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
