TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	SP1
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
RAF1	NFKB1
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
NFKB1	HIF1A
GLI3	WNT4
TCF7L2	MYC
EP300	GAPDH
PAX6	PDX1
CREBBP	MITF
RXRB	OLR1
RXRB	ANGPTL4
RXRB	ACSL5
RXRG	ACSL4
RXRG	GK2
RXRG	ACAA1
RXRG	APOC3
RXRG	LPL
RXRG	MMP1
RXRG	PDPK1
RXRG	SCD
RXRG	UBC
IRF7	IFNA21
JUN	IL12B
JUN	CCL3L3
JUN	CCL4L1
NFKB1	CCL3
RELA	IL12A
CEBPA	PER2
CREB1	LOC100507709
CREB1	LOC100509457
NFKB1	IL23A
CREB1	ADRB2
ELK1	CCT8
SP1	CD14
SP3	COL2A1
ERG	HMOX1
ERG	MMP9
ATF1	PLAUR
CEBPB	TNF
