AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREBBP
CREBBP	SP1
MAPK1	MYC
MAPK1	JUN
NFKB1	MYB
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT1
MAPK1	ESR1
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	CREB1
MAPK1	SMAD3
CREBBP	STAT4
CREBBP	RBPJL
CREBBP	RBPJ
CREBBP	STAT2
CREBBP	STAT6
PRKACA	ATF4
MAPK1	FOS
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	ATF2
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	MAPK14
MAPK14	MAX
MAPK1	ETS1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	MAPK3
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS2
NFKB1	HIF1A
PRKACA	ATF1
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
JUP	MYC
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	BHLHE41
NPAS2	PER3
NPAS2	PER2
CLOCK	RORB
CLOCK	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
PAX6	PDX1
CREB3	MITF
LEF1	MITF
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R2	PDPK1
RXRA	ACSBG1
RXRA	GK
RXRA	GK2
RXRA	ACADL
RXRA	UCP1
RXRB	CYP4A22
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYA	HLA-DQA1
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
MAPK12	IL1B
SP1	COL4A2
CREB1	ADRB2
CREB1	ARG1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
SP3	DKC1
ETS1	DNTT
EGR1	EGFR
STAT1	EGFR
CREB1	ERBB2
ELK1	ERBB2
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
RELA	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
CEBPA	PCK2
E2F4	PCNA
BRCA1	PCNA
SP3	PDGFB
FOS	PDHA1
PAX6	PDHX
JUN	PENK
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F1	POLA
JUN	POLA
TFAP2A	POLD2
E2F4	POLE2
NFIC	POLE2
CEBPD	PTGS2
CREB1	PTGS2
RARB	PTGS2
REL	PTGS2
TFAP2A	PTGS2
USF1	PTGS2
