ADRA2B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
MAPK1	SMAD3
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
LOC400927-CSNK1E	WWTR1
HRAS	JUN
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
HRAS	RAF1
RAF1	NFKB1
MAPK1	ATF2
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
CREB5	BDNF
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
HIF1A	PGK1
ARNT	ENO2
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	ITGB2
YAP1	SNAI2
YAP1	CCND2
WWTR1	BBC3
WWTR1	AREGB
TCF7L2	MITF
MYC	VEGFA
MAPK10	NOS2
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
RFXAP	HLA-DOA
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
TP53	CAV1
CEBPB	IL4
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
NFKB1	VWF
