SDHD	FH
FH	MDH1
MDH1	PCK1
PCK1	PKM
PKM	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PCK1	PPP2R4
PPP2R4	AKT2
AKT2	JUN
AKT2	NFKB1
NFKB1	TP53
AKT2	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
MDH1	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
MAPK1	STAT1
AKT2	FOXO3
FOXO3	RBL2
RBL2	E2F4
AKT2	CREB1
PRKACA	PPARA
AKT2	NR4A1
NR4A1	RXRA
CREBBP	RXRB
CREBBP	RXRG
GLUD1	CPS1
CPS1	OTC
OTC	NOS1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
MAPK1	TP53
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
SMAD2	E2F4
OTC	NOS3
NOS3	CREB1
NOS1	RASD1
RASD1	PRKACA
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
GLI2	WNT5A
TCF7	BIRC5
TCF7L2	MYC
RBPJ	CR2
TEAD1	SOX2
PAX6	PDX1
EP300	MITF
ETS1	VEGFC
FOXO3	G6PC2
PPARD	CPT1A
RXRA	CYP4A11
MAPK11	IL12B
MAPK9	TNF
MAPK10	IL6
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	ADRB2
EGR1	COL2A1
SP3	COL2A1
NFIC	CYP17A1
REL	EGFR
NFIC	HMOX1
ERG	MMP2
ETS2	PLAU
ATF1	PLAUR
ETV4	PTGS2
