DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	SMAD7
PRKACA	MAPK1
MAPK1	SMAD2
MAPK8	SMAD4
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	EP300
CREBBP	ARNT
PRKACA	NFKB1
MAPK1	ETS1
PRKACA	CREB1
MAPK8	JUN
PPP1CA	WWTR1
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK8	TP53
STAT3	MYC
PRKACA	RELA
JAK2	STAT1
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
STAT3	ESR1
PRKACA	ATF2
PTK2B	RAC1
RAC1	MAPK1
SMAD2	SP1
RAC1	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
PTK2B	SRC
SRC	CTNNB1
NFKB1	TNF
TNF	SMAD7
MAPK1	SMAD3
MAPK1	SMAD4
SRC	STAT3
NFKB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
MAPK1	CREB1
MAPK1	JUN
PPP2CA	WWTR1
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
NFKB1	TP53
MAPK1	MYC
RAC1	RELA
MAPK1	STAT1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ESR1
MAPK1	ATF2
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
CREBBP	FASLG
ATF6B	IL8
ATF6B	PCNA
FOS	MMP9
MAPK10	SMAD4
CREBBP	EGF
CREBBP	ENO1
CREBBP	ENO2
CREBBP	GAPDH
CREBBP	PFKFB4
EP300	EGF
EP300	ENO1
EP300	ENO2
EP300	GAPDH
EP300	PFKFB4
HIF1A	EGF
HIF1A	ENO1
HIF1A	ENO2
HIF1A	GAPDH
HIF1A	PGK1
ARNT	EDN1
ARNT	FIGF
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
MAPK3	IL18
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DMA
RFXAP	HLA-DOA
SP1	COL4A2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	CCNB1
USF2	CCNB1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF1	FBP1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
ETS2	PLAU
TFAP2A	POLD2
USF2	PTGS2
USF1	S100A6
RARA	S100A8
RARB	S100A8
NFKB1	SAA2
POU2F1	SFTPA1
LEF1	SPP1
POU2F1	SPP1
POU2F2	SPP1
CREB1	TF
CREM	TH
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
CEBPB	TNF
SMAD3	TNNC1
PAX8	TP53
STAT1	TP53
TP53	TP53
FOS	TSHB
NFKB1	VWF
