DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	ATF2
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
PRKACA	XBP1
XBP1	CEBPA
STAT3	ESR1
PRKACA	CREB1
PRKACA	ATF4
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PTK2B	RAC1
RAC1	MAPK1
MAPK1	ATF2
RAC1	NFKB1
NFKB1	TP53
MAPK1	SMAD2
SMAD2	SP1
MAPK1	JUN
MAPK1	MYC
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	ESR1
MAPK1	CREB1
MAPK1	ATF4
RAC1	RELA
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
GLI3	WNT16
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
RELA	CCL4
PIK3R2	AKT1
PIK3R2	PDPK1
NFYA	LOC100507714
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
CREB1	ARG1
SP3	COL2A1
SP1	DKC1
SP3	DKC1
JUN	MMP7
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F1	POLA
JUN	POLA
E2F4	POLE2
NFIC	POLE2
CEBPD	PTGS2
CREB1	PTGS2
RARB	PTGS2
REL	PTGS2
TFAP2A	PTGS2
USF1	PTGS2
