STAT3	CPT1A
CREB5	FOS
NFKB1	BIRC3
GLI1	PTCH1
GLI1	WNT1
GLI1	WNT10A
GLI2	GLI1
GLI3	WNT5A
GLI3	WNT11
GLI3	WNT9B
NR1H4	SLC51A
NR1H4	ABCB11
SMAD2	CDKN1A
SMAD3	CDKN2B
EGR2	FASLG
IRF3	IFNB1
IRF7	IFNB1
MAPK8	SMAD4
MAPK9	SMAD4
CREBBP	ALDOA
CREBBP	ANGPT1
CREBBP	ANGPT2
CREBBP	PDK1
CREBBP	PFKFB2
EP300	ALDOA
EP300	ANGPT1
EP300	ANGPT2
EP300	PDK1
EP300	PFKFB2
HIF1A	ALDOA
HIF1A	ANGPT1
HIF1A	ANGPT2
HIF1A	PDK1
HIF1A	PFKFB2
ARNT	ENO2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
SMAD3	CTGF
LEF1	SOX2
LEF1	NKD1
SOS2	CCND1
SOS2	CCND2
SOS2	CCND3
STAT1	SOCS4
STAT1	SOCS7
STAT1	MYC
STAT1	PIM1
STAT1	CCND1
STAT1	SOCS2
STAT1	CCND2
STAT1	CCND3
STAT1	SOCS3
STAT1	SOCS5
STAT4	SOCS3
STAT5B	CCND3
VDR	ATP2B1
NFKB1	CXCL2
NFKB1	CCL4L2
NFKB1	NFKBIA
NFKB1	PTGS2
NFKB1	TNFAIP3
NFKB1	TRAF2
NFKB1	CCL4L1
NFKB2	ICAM1
RELA	NFKB2
RELA	PLAU
RELA	TRAF1
RELB	TNFSF13B
RELB	CCL13
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CA	AKT1
PIK3CD	PDPK1
PIK3CG	AKT2
PIK3R1	AKT3
PLCG2	EGFR
PIK3R3	AKT2
RBPJL	PTCRA
NFKB1	VEGFB
ETS1	IL8
ETS1	MMP1
ETS1	VEGFA
FOS	IL8
MYC	MMP2
MYC	VEGFB
NFKB1	NOS2
NFKB1	TRAF3
NFKB1	TRAF6
NFKB2	BIRC2
CREB3	MCL1
CREB3	BCL2
ATF2	MCL1
FOXO3	BCL2L11
FOXO3	G6PC
FOXO3	PCK2
NFKB1	MYB
CREB3L3	BCL2
PPARA	SLC27A1
PPARA	LPL
PPARA	ANGPTL4
PPARA	SCD5
PPARA	ACOX2
PPARD	CPT1C
PPARD	ILK
PPARD	UBC
PPARG	ACSL5
PPARG	PLIN1
PPARG	SCD5
RXRA	SLC27A4
RXRA	CPT1C
RXRA	CPT2
RXRA	DBI
RXRA	ACSL1
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRA	ADIPOQ
RXRA	FADS2
RXRA	CD36
RXRB	CYP7A1
RXRB	CYP27A1
RXRB	FABP4
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	LPL
RXRB	SCP2
RXRG	SLC27A4
RXRG	CPT1C
RXRG	CPT2
CREB1	HLA-DOB
MYD88	IFNA17
MYD88	IFNB1
NFYB	HLA-DOA
NFYB	HLA-DPA1
NFYC	LOC100507714
NFYC	LOC101060835
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK11	TNF
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	HLA-DRA
RFX5	HLA-DRB3
PPARG	SAT1
NFIC	ARG1
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
SP2	CCND1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ATF2	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
MYC	CSTB
SP1	CTGF
RELA	CTSB
SP3	CTSB
JUN	CYP11A1
REL	EGFR
CREB1	ERBB2
ELK1	ERBB2
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
USF2	HMOX1
ATF1	ID2
ERG	JUN
JUN	JUN
SP1	LCAT
CREB1	LDHA
MYB	MAT2A
SP1	MAT2B
JUN	MT1A
ETV4	MYB
WT1	MYB
MYBL2	MYC
POU2F1	MYC
SP3	MYCN
TP53	NFIC
RARB	S100A9
RELA	SAA2
SPI1	SCARB1
PPARG	SERPINE1
USF2	SERPINE1
SP1	TAF7
ESR1	TFF1
JUN	TFF1
CREB1	TG
ATF1	TH
CEBPA	TK1
CEBPD	TNF
EGR1	TNF
FLI1	TNNC1
NFKB1	TNNC1
SP1	TPI1
JUN	TSHB
SP1	TTR
TFAP2A	VHL
ETV4	VIM
