DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
PRKACA	XBP1
XBP1	CEBPA
MAPK8	JUN
JAK2	STAT3
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	MAPK1
MAPK1	ETS1
CREBBP	SP1
STAT3	ESR1
MAPK1	SMAD2
MAPK8	SMAD4
PRKACA	ATF2
MAPK8	SMAD3
STAT3	FOXO3
MAPK8	JUND
PRKACA	NFKB1
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
RAPGEF3	MAPK14
MAPK14	CEBPB
NFKB1	NFKB2
PTK2B	RAC1
RAC1	NFKB1
NFKB1	TP53
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	HIF1A
HIF1A	ARNT
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
RAC1	MAPK1
MAPK1	JUN
SRC	STAT3
RAC1	PIK3R5
PIK3R5	MTOR
SMAD2	SP1
MAPK1	ESR1
MAPK1	SMAD4
MAPK1	ATF2
MAPK1	SMAD3
MAPK1	FOXO3
RAC1	MAPK8
RAC1	RELA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
NFKB1	CEBPB
STAT3	PIM2
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
STAT5A	CCND3
MAPK1	CDK4
NFKB1	FIGF
MAX	CKS2
NFKB2	TRAF4
IRF1	IL12A
PPARA	ACSL1
PPARA	ACADM
PPARG	ACSBG1
PPARG	PCK2
MAPK1	TNF
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
EGR1	ABCB1
EGR2	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
E2F4	HSP90B1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
POU2F1	SFTPA1
NFIC	SFTPC
CREM	TH
HOXA4	TH
SMAD3	TNNC1
SMAD4	TNNC1
