CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
PRKCA	CREB1
PRKCA	MTOR
MTOR	PPARG
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
RAF1	RELA
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	ATF2
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	WNT4
STAT4	CCND3
STAT5A	SOCS2
STAT5B	CCND2
STAT6	CCND1
EPAS1	TGFB3
EPAS1	VEGFA
EPAS1	VEGFC
ETS1	MMP2
JUN	VEGFC
MAX	CKS1B
MYC	CKS2
MYC	FIGF
NFKB2	TRAF1
NFKB2	TRAF5
RELA	TRAF3
RELA	TRAF5
IRF8	IL12A
CREB1	MCL1
FOXO3	FASLG
PPARA	CYP4A11
PPARA	DBI
PPARA	ACSBG1
PPARA	ACSL6
PPARA	APOA1
PPARA	ME1
PPARA	ACOX3
PPARG	CPT1B
PPARG	ACSL1
PPARG	GK2
PPARG	AQP7
PPARG	OLR1
PPARG	SCD
RXRA	CPT1A
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DRB3
MAPK1	IL6
MAPK1	NOS2
RELA	CEBPB
RELA	IL1A
SP1	ADA
USF2	CEACAM5
SP1	CYP11A1
STAT4	IRF1
CEBPA	IVL
ERG	MMP9
