TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
NFKB1	MYB
MAPK8	ELK1
ELK1	EGR1
MAPK8	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	FOS
MAPK1	ESR1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK1	ETS1
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK1	STAT3
CREBBP	STAT2
CREBBP	STAT6
PRKACA	PPARA
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
VDR	TRPV5
MAPK14	CXCL1
MAPK11	CXCL1
RBPJL	CR2
RBPJ	FCER2
CTNNB1	CCND3
ATF2	IL8
RELA	IL6
CREBBP	CDKN1B
CREBBP	PFKL
EP300	CDKN1B
EP300	PFKL
HIF1A	CDKN1B
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	G6PC2
FOXO1	FBP2
SOS1	SPRY3
TCF7L1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R2	AKT3
PIK3R3	AKT3
RXRA	SLC27A1
NFYA	HLA-DOB
MAPK8	IL18
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXANK	HLA-DMA
SP1	COL4A2
USF2	ABCA1
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
TFAP2A	ADRA1A
SP1	AKR1B1
POU2F1	AKR1C3
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
SP1	CD99
E2F1	CDC25A
E2F4	CDC45
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
USF1	CTSB
SP3	CTSL
SP1	CYP17A1
SP3	CYP17A1
ETS1	DNTT
JUN	FOSL1
E2F1	HIST1H2AM
TFAP2A	HMOX1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
CREB1	POLD2
TFAP2A	POLD2
ETS1	PPP2R4
ATF4	PTGS2
PPARG	PTGS2
MYC	PTMA
SP1	RPL15
NFIC	SFTPC
ETV4	SPP1
HOXA4	TH
SMAD3	TIMP1
SMAD4	TNNC1
PAX2	TP53
