AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
MAPK1	ETS1
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	TP53
MAPK1	MYC
MAPK1	ETS2
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	FOS
MAPK1	ELK1
PRKACA	RELA
PRKACA	MAPK14
MAPK14	MAX
ELK1	EGR1
PRKACA	MAPK3
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
GLI3	WNT4
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	IL23A
NFYB	HLA-DRB3
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
MAPK10	IL12B
MAPK10	IL18
MYBL2	CDKN1C
CEBPB	ABCB1
EGR1	COL2A1
SP3	COL2A1
STAT1	EGFR
JUN	F3
JUND	F3
ERG	MMP9
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
