JUP	MYC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
HNF1A	HNF4G
PIK3R2	AKT3
ETS1	VEGFC
HIF1A	TGFB1
CREB1	BCL2
FOXO3	G6PC2
PPARA	ACOX1
PPARD	CPT1A
PPARG	UCP1
RXRA	CYP4A11
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MAPK10	IL12A
RFX5	LOC100507709
RFXAP	HLA-DMA
TCF7L2	MMP7
TCF7L2	FOSL1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5B	ESR1
PPARG	GADD45A
CEBPB	HP
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
