A2M	F2
F2	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
F2	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PRKCZ	MAPK1
MAPK1	ETS1
PIK3R5	MTOR
MTOR	PPARG
AKT3	JUN
MAPK1	SMAD2
SMAD2	SP1
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
GLI3	WNT5A
TP53	CDKN1A
CREB3	PCNA
NFAT5	TNF
MAPK8	JUN
CREB3L1	PCNA
CREB5	IL8
CREBBP	ANGPT4
CREBBP	VEGFB
CREBBP	VEGFC
EP300	ANGPT4
EP300	VEGFB
EP300	VEGFC
HIF1A	ANGPT4
MYC	VEGFC
FOXO3	CDKN1B
ATF4	BCL2
PPARA	ACSBG2
PPARD	ACADL
RXRA	APOA5
RXRA	CYP27A1
MAPK1	NOS2
MYC	CCNB1
TFAP2A	COL1A1
CREB1	CYP11A1
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
POU5F1	GADD45A
JUN	MT1A
TAL1	NFKB1
SP1	RELA
TP53	RELA
PPARD	SERPINE1
USF2	SP1
SP1	SPN
ATF1	TG
FOS	TIMP1
JUN	TIMP1
ETS1	TNNC1
HIF1A	TP53
JUN	TP53
PAX1	VHL
