KCNQ1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
PRKACA	XBP1
XBP1	CEBPA
NFKB1	TP53
CREBBP	ARNT
PRKACA	ATF1
MAPK11	IL8
ATF6B	PCNA
IRF3	IFNB1
CREBBP	ENO2
CREBBP	ANGPT1
EP300	ENO2
EP300	ANGPT1
HIF1A	ENO2
HIF1A	ANGPT1
STAT2	SOCS1
STAT2	SOCS2
MITF	TYRP1
PIK3CB	AKT1
RXRB	AQP7
MAPK11	IL18
MAPK11	NOS2
CREB5	AQP2
SP1	CCND1
ETV4	ERBB2
ESR1	GADD45B
PPARG	GADD45B
CREB1	GH2
NFKB1	PPP2R4
RARB	S100A8
RELA	SAA2
POU2F2	SPP1
ESR1	TFF1
STAT3	TIMP1
CEBPD	TNF
TP53	TP53
JUN	TSHB
