PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB1
MYC	ZBTB17
RAPGEF3	MAPK14
MAPK14	MAX
MAX	PIAS2
MAPK8	SMAD3
SMAD3	YAP1
TNF	VCAM1
GLI3	BMP4
TCF7	BIRC5
HIF1A	SLC2A1
ARNT	FIGF
TP53	PERP
EPAS1	SLC2A1
ETS1	CDK4
ETS1	VEGFB
NFKB2	TRAF6
IRF8	IL12B
FOXO3	PCK1
PPARA	EHHADH
PPARA	APOA2
PPARA	FADS2
PPARG	ACSL3
PPARG	PCK1
RXRA	CPT1B
RXRA	ACSL5
MAPK8	IL18
MYB	TSC22D3
MYBL1	TSC22D3
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
STAT1	IFNG
PPARG	MMP9
ETS2	PLAU
ATF6	XBP1
