TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
NFKB1	TRAF6
TRAF6	MYD88
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
PRKACA	MAPK1
MAPK1	MYC
NFKB1	MYB
MAPK1	STAT3
MAPK1	STAT1
NFKB1	NFKB2
CREBBP	STAT5A
CREBBP	STAT5B
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK1	ESR1
PRKACA	CTNNB1
CTNNB1	LEF1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ETS1
PRKACA	CREB1
RAPGEF3	MAPK14
MAPK14	CEBPB
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SMAD2
SMAD2	SP1
STAT1	MYD88
MAPK1	TP53
NOS1	HRAS
HRAS	JUN
STAT3	STAT5A
STAT3	STAT5B
SMAD2	YAP1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	SMAD4
SMAD4	LEF1
SMAD2	E2F4
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
NOS3	CREB1
HRAS	MAPK14
PIK3R5	MTOR
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
CREB1	PCNA
ATF6B	IL8
CREBBP	CDKN1A
CREBBP	ENO1
EP300	CDKN1A
EP300	ENO1
HIF1A	CDKN1A
HIF1A	ENO1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
SOS1	SPRY3
SOS1	SPRY2
STAT4	CCND1
STAT5A	CCND1
STAT5A	SOCS5
STAT5B	MYC
STAT6	MYC
PAX6	PDX1
RBPJ	HES5
TP53	RRM2B
TP53	SERPINB5
TP53	BAX
EPAS1	TGFB1
ETS1	PGF
MYC	CDK4
MYC	VEGFA
RELA	NOS2
ATF6B	MCL1
CREB3L4	MCL1
PPARA	ACSL3
PPARA	PLTP
PPARA	SCP2
PPARG	ACSL6
PPARG	ADIPOQ
RXRA	NR1H3
NFYA	HLA-DQA1
NFYC	HLA-DQA2
SP3	ABCA1
USF2	ABCA1
CREB1	ADRB2
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CTSB
SP1	CTSL
SP1	CYP17A1
SP3	CYP17A1
FLI1	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
SP1	RPL10
RARA	S100A8
ETS2	SPP1
POU2F1	SPP1
JUND	TIMP1
STAT1	TIMP1
NFKB1	TP53
STAT1	TP53
