HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	ATF2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	JUN
MAPK1	ATF4
HRAS	RAF1
RAF1	NFKB1
PRKACA	ATF3
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
HRAS	FOS
RAF1	RELA
MAPK1	SMAD3
MAPK1	SMAD4
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ATF6B
MAPK1	CREB5
SMAD4	LEF1
LEF1	PPARD
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	ETS1
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	SMAD2
MAPK1	TP53
SMAD2	SP1
MAPK1	STAT3
CREB3	ATF1
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK8
MAPK8	JUND
MAPK1	ELK1
ELK1	EGR1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	ATF2
PIK3R5	PLCE1
AKT3	CREB1
AKT3	JUN
AKT3	ATF4
AKT3	NFKB1
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
PIK3R5	HRAS
AKT3	RELA
ITGB2	PTK2
PTK2	MAPK1
AKT3	ATF6B
AKT3	CREB5
ITGB2	SRC
SRC	CTNNB1
CTNNB1	LEF1
CREBBP	SP1
SRC	STAT3
PTK2	MAPK14
MAPK14	JUND
CREB3L3	NPY
CREB3L1	CRH
NR3C2	ATP1B4
NR3C2	ATP1A1
NR3C2	ATP1A2
NR3C2	ATP1A4
NR3C2	ATP1B1
NR3C2	ATP1B3
NR3C2	FXYD2
NR3C2	SCNN1A
NR3C2	SCNN1B
NR3C2	SGK1
CREB3	ARC
CREB3	PDYN
CREB1	ARC
CREB1	PDYN
ATF2	ARC
ATF2	PDYN
NFKB1	XIAP
NFKB1	BCL2
GLI1	WNT2
GLI1	WNT3
GLI2	WNT16
GLI2	WNT4
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	WNT4
TP53	CDKN1A
CTNNB1	CCND2
CREB3	PCNA
ATF2	IL8
MAPK8	JUN
MAPK10	SMAD4
CREB3L1	PCNA
CREBBP	CDKN1B
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	VEGFB
EP300	CDKN1B
EP300	ANGPT4
EP300	PFKFB4
EP300	VEGFB
HIF1A	CDKN1B
HIF1A	ANGPT4
ARNT	PFKFB3
STAT4	CCND3
STAT5B	CCND2
MAPK1	CDK4
MAPK3	CCND1
EPAS1	PDGFB
ETS1	FIGF
ETS1	VEGFB
FOS	MMP1
JUN	FIGF
NFKB1	CCND1
NFKB1	TRAF4
NFKB2	TRAF2
IRF1	IL12B
FOXO3	PCK1
ATF4	BCL2
RELA	MYB
PPARA	CYP7A1
PPARA	APOC3
PPARA	FADS2
PPARD	ACADL
PPARD	LPL
PPARG	CYP27A1
PPARG	ANGPTL4
RXRA	CPT1B
RXRA	CYP27A1
RXRA	EHHADH
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
MYD88	IFNA10
NFYA	HLA-DQA1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK1	IL1A
MAPK1	IL1B
MAPK10	NOS2
MAPK10	IL23A
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DOA
RFX5	HLA-DOB
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CEACAM5
RELA	CSF2
NFKB1	CSF3
RELA	CSF3
ETS1	CSNK2A1
SP1	EGFR
TFAP2C	ESR1
CREB1	F3
ETV4	FOS
FLI1	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
POU2F1	HIST2H2BE
FOS	HLA-DRA
SP1	IL2
REL	IL2RA
POU2F1	IL4
CEBPA	IL5
CEBPB	IL5
ETS2	IL5
JUN	IL5
POU2F1	IL5
POU2F2	IL5
ATF1	IL6
CEBPA	IL6
CEBPD	IL6
CREB1	IL6
JUND	IL6
NFIC	IL6
TFAP2A	IL6
USF1	IL6
NFKB2	IL8
NFIC	JUN
RARB	JUN
SP1	LDHA
CREM	LDHC
SP3	MAT2B
NFIC	MBP
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
ERG	MMP9
TAL1	NFKB1
USF2	PTGS2
SP1	RELA
SP1	RPL15
PPARD	SERPINE1
POU2F1	SFTPA1
USF2	SP1
ETV4	SPP1
ATF1	TG
CREM	TH
FOS	TIMP1
SMAD3	TIMP1
ETS1	TNNC1
SMAD3	TNNC1
HIF1A	TP53
PAX2	TP53
PAX1	VHL
