PPARG	RXRA
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	MITF
RXRA	THRB
THRB	GATA4
GATA4	SRF
SRF	ETS1
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
CTNNB1	CREBBP
CREBBP	STAT3
CREBBP	STAT1
THRB	HIF1A
CREBBP	TP53
LEF1	JUN
PIK3R5	HRAS
HRAS	FOS
CTNNB1	EP300
HIF1A	ARNT
CREBBP	EPAS1
THRB	MYC
AKT3	IRF3
STAT3	PIM2
MAPK9	SMAD4
CREBBP	PFKFB2
EP300	PFKFB2
HIF1A	PFKFB2
STAT2	CCND2
STAT2	CCND3
STAT2	SOCS3
STAT5A	SOCS4
STAT5B	SOCS5
MAPK3	CDK4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	PLAU
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
RXRA	ACOX2
RXRA	ACOX3
RXRB	APOC3
RXRB	ILK
RXRG	EHHADH
IRF7	IFNA8
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
MAPK12	IL6
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	HMOX1
E2F4	HSP90B1
USF2	SERPINE1
ATF1	TH
NFKB1	TNNC1
ETV4	VIM
