KCNQ1	PRKACA
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
PRKACA	CREB1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
RELA	BIRC2
GLI1	WNT2
GLI1	WNT7B
GLI2	WNT16
CREB3L4	PCNA
MAPK8	JUN
CREBBP	EPO
CREBBP	ANGPT4
EP300	EPO
EP300	ANGPT4
HIF1A	EPO
HIF1A	ANGPT4
RXRB	PCK1
MAPK11	IL18
MAPK11	NOS2
STAT1	EGFR
JUND	FOSL1
POU5F1	GADD45A
NFKB1	KLK3
SP1	LDHA
PPARD	LIPA
SP3	MAT2B
RARA	S100A9
PPARD	SERPINE1
NFIC	STMN1
ATF1	TG
E2F4	TK1
ETS1	TNNC1
WT1	TP53
PAX1	VHL
