HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	STAT3
MAPK1	CREB1
MAPK1	ESR1
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	SMAD4
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	HIF1A
ITGAL	PTK2
PTK2	MAPK1
ITGAL	SRC
SRC	STAT3
STAT3	ESR1
PTK2	MAPK14
ESR1	SP1
SRC	PIK3R5
HDAC2	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
HDAC2	HDAC1
HDAC1	FOS
FOS	IL6
IL6	STAT3
CREBBP	CREB1
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
JUN	NFKB1
NFKB1	CEBPB
LEF1	YAP1
YAP1	SMAD4
CREBBP	SP1
HDAC2	THRB
THRB	HIF1A
TCF7L2	BIRC5
EP300	FIGF
ARNT	PGK1
HNF1A	HNF4G
RELA	IL1A
RELA	IL18
RFX5	LOC100507709
RFXAP	LOC100509457
RFXAP	HLA-DMA
ATF1	AQP3
CREB1	ARG1
BRCA1	ESR1
STAT5B	ESR1
POU2F1	HIST2H2BE
FOS	HLA-DRA
SP1	PLAU
ATF1	TNF
