TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CTNNB1
CTNNB1	LEF1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ETS2
MAPK1	STAT3
STAT3	IRF1
PPP1CA	WWTR1
MAPK8	FOXO3
MAPK8	FOXO1
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	MYB
PRKACA	RELA
PRKACA	ATF1
PRKACA	ATF2
MAPK8	JUN
NFKB1	TRAF6
TRAF6	MYD88
MAPK8	FOS
PRKACA	ATF4
RAPGEF3	MAPK9
RAPGEF3	MAPK10
NFKB1	HIF1A
PRKACA	PDX1
PDX1	HNF4A
PRKACA	EP300
CREBBP	ARNT
RAPGEF3	MAPK14
MAPK14	AKT3
AKT3	IRF3
MAPK1	ESR1
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
NFKB1	IFNG
TRAF6	IRF5
MAPK1	STAT1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
FOXO3	BCL6
TRAF6	IRF7
MAPK8	ELK1
ELK1	EGR1
MAPK1	AR
STAT3	CPT1A
CREB3L1	ARC
CREB3L1	PDYN
RELA	BIRC8
RELA	BCL2L1
GLI1	WNT16
GLI1	WNT7A
GLI1	WNT11
GLI1	WNT9A
GLI2	BMP2
GLI2	WNT1
GLI2	WNT3
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
MAPK13	IL8
RELA	IL8
MAPK12	CXCL1
ELK1	BIRC2
ELK1	XIAP
CREB3L4	PCNA
EP300	FASLG
IRF3	IFNB1
RELA	MMP9
CREB3L2	IL8
CREBBP	EPO
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	PGF
CREBBP	BCL2
EP300	EPO
EP300	FLT1
EP300	ANGPT1
EP300	PGF
EP300	BCL2
HIF1A	EPO
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	TIMP1
ARNT	EDN1
ARNT	HK2
