DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	PPARA
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
PTK2B	RAC1
RAC1	NFKB1
RAC1	RELA
NFKB1	TP53
PTK2B	SRC
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	PIK3R5
PIK3R5	MTOR
SRC	CTNNB1
RAC1	MAPK1
MAPK1	ESR1
GLI3	WNT4
GLI3	BMP2
STAT4	SOCS2
STAT5B	SOCS1
FOS	VEGFB
RXRG	FABP3
IRF7	IFNA14
NFYB	LOC100507709
NFYB	LOC100509457
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
ATF3	ASNS
ERG	MMP9
PPARA	MMP9
