TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	STAT3
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
RAPGEF3	MAPK8
MAPK8	TP53
MAPK14	MAX
PRKACA	RELA
MAPK8	JUN
MAPK1	ETS1
PRKACA	MAPK3
MAPK8	FOS
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB1
CREBBP	STAT5A
CREBBP	STAT5B
MAPK1	STAT1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK1	ESR1
CREBBP	SP1
PRKACA	CREM
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	NFKB2
PRKACA	ATF2
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
NOS1	HRAS
HRAS	MAPK14
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
MAPK1	TP53
MAPK1	RELA
HRAS	JUN
NOS1	MAPK3
HRAS	FOS
MAPK1	NFKB1
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
GATM	NOS3
NOS3	CREB1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	SMAD2
SMAD2	SP1
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
NOS3	ATF2
SMAD2	YAP1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	ENO1
TEAD1	BIRC5
TEAD4	CTGF
TEAD4	AXIN2
TEAD3	CCND1
TCF7L1	BIRC2
TEAD2	GLI2
TEAD2	CCND2
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
HIF1A	PDGFB
HIF1A	TGFB1
JUN	MMP9
NFKB2	BIRC7
CREB1	BCL2
CREB3L3	MCL1
PPARA	FABP1
PPARA	ACOX1
PPARD	PDPK1
PPARG	ACSL4
PPARG	UCP1
RXRA	FABP3
RXRA	ACADL
RXRA	APOA2
MAPK8	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	COL4A2
ESR1	CCND1
USF1	CTSB
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
ETS1	VWF
ETS2	VWF
NFIC	VWF
