RRM1	PKM
PKM	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	TP53
PRKACA	CTNNB1
CTNNB1	LEF1
MAPK1	ESR1
MAPK1	ETS2
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	CREB1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	XBP1
XBP1	CEBPA
MAPK1	STAT3
PRKACA	MAPK3
PRKACA	ATF2
PRKACA	RELA
MAPK8	FOS
MAPK1	MYC
MAPK1	STAT1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PKM	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
TYMS	ITPA
ITPA	ADCY1
ITPA	NPR1
CMPK1	ITPA
CMPK1	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	STAT1
ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A4
NR3C2	ATP1B3
CREB5	FOS
NFKB1	BIRC7
RELA	BIRC8
GLI1	PTCH1
GLI1	WNT6
GLI1	WNT7A
GLI1	WNT10A
GLI2	HHIP
GLI2	BMP2
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
ELK1	XIAP
ATF2	PCNA
ATF4	PCNA
NFKB1	MMP9
MAPK8	SMAD4
CREB3L2	IL8
CREBBP	EDN1
CREBBP	HK3
CREBBP	NPPA
CREBBP	PDK1
CREBBP	BCL2
EP300	EDN1
EP300	HK3
EP300	NPPA
EP300	PDK1
EP300	BCL2
HIF1A	EDN1
HIF1A	HK3
HIF1A	NPPA
HIF1A	PDK1
ARNT	ENO1
TEAD1	BIRC5
TEAD4	AXIN2
STAT3	CCND2
STAT3	SOCS5
TCF7L1	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RBPJL	HES5
TP53	RPRM
EPAS1	FIGF
ETS1	IL8
FOS	PGF
NFKB2	BCL2L1
CREB3	MCL1
CREB3L2	BCL2
PPARA	CPT2
PPARA	SLC27A1
PPARD	ANGPTL4
PPARG	CPT1A
PPARG	ACSL5
RXRA	FABP1
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFYA	HLA-DQA1
NFYC	LOC100507714
NFYC	LOC101060835
MAPK3	IL18
MAPK8	IL12A
MAPK8	IL12B
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	HLA-DMA
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
PPARG	SAT1
CEBPA	ABCB1
CEBPB	ABCB1
SPI1	B2M
USF1	B2M
SP3	CCND1
TP53	CCND1
USF1	CCND1
USF1	CTSB
ETV4	ERBB2
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
USF2	FBP1
EGR1	FCER2
ETS1	FOSL1
E2F1	HIST1H2AM
ATF1	IL1B
CEBPB	IL1B
ETS2	IL5
POU2F1	IL5
ERG	JUN
SMAD4	JUN
SP1	JUN
SP1	LCAT
SP3	LHB
PPARA	LIPA
MYB	MAT2A
JUN	MGP
RARA	MIF
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
USF1	PTPN6
RELA	S100A6
JUN	SERPINB2
ESR2	SERPINE1
PPARG	SERPINE1
EGR1	SOD1
JUN	SPP1
NFIC	TFPI2
ETS1	TFRC
CREB1	TG
EGR1	THBS1
SMAD4	TIMP1
ETS1	TNF
REL	TNFSF10
FLI1	TNNC1
TFAP2A	TNPO1
PAX5	TP53
TP53	TYMS
FLI1	UPP1
TFAP2A	VHL
