TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
PRKACA	NFKB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	JUN
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	CREBBP
CREBBP	STAT5A
CREBBP	STAT5B
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	ATF4
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	CREB1
CREBBP	SP1
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
CLOCK	PER2
FOSB	NFKB1
HIF1A	TIMP1
ARNT	EDN1
TEAD4	AXIN1
TP73	BBC3
TEAD2	CTGF
RXRG	EHHADH
IRF7	IFNA8
MAPK1	IL12B
SP1	COL4A2
USF2	ABCA1
E2F4	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
EGR1	EGFR
ESR1	FOS
ETS2	FOS
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
PAX6	PDHX
JUN	PENK
