TPO	GOT1
GOT1	ASS1
ASS1	NOS3
NOS3	CREB1
NOS3	ATF2
ASS1	NOS1
NOS1	MAPK1
MAPK1	TP53
NOS3	CREB3
NOS3	ATF6B
NOS3	ATF4
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
MAPK1	ETS1
NOS1	HRAS
HRAS	JUN
MAPK1	STAT3
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFYC	HLA-DMA
SP3	ABCA1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP3	CYP17A1
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
POU5F1	GADD45A
PPARD	GADD45A
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
