KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CACNA1C	INS
INS	KIT
KIT	STAT3
CAMK2A	STAT1
CREBBP	STAT4
KIT	STAT5A
KIT	STAT5B
INS	MAPK1
MAPK1	TP53
CALML6	HRAS
HRAS	JUN
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	SMAD4
MAPK1	ETS1
HIF1A	PGF
HIF1A	VEGFC
ARNT	PFKL
TEAD1	MYC
TEAD1	CCND1
TEAD4	NKD1
TEAD4	CCND2
TEAD3	SNAI2
TEAD3	SOX2
TCF7L1	SNAI2
TCF7L1	SOX2
TEAD2	BIRC2
TEAD2	BIRC5
SOS1	SPRY3
RELA	TRAF1
PIK3CD	PDPK1
RXRB	ILK
NFYA	HLA-DQA1
NFYC	CD74
MAPK9	IL1A
MAPK9	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
SPI1	CD68
POU2F2	CD79A
NFIC	VWF
