HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
PRKCA	CREB1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
PRKCA	HRAS
HRAS	JUN
MAPK1	STAT3
MAPK1	STAT1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	FOS
MAPK1	SMAD4
MAPK1	ESR1
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD3
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	ATF2
SMAD2	E2F4
PRKCA	ATF4
CREB3	ATF1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
GLI3	WNT5A
TP53	SFN
TP53	GADD45B
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
TEAD1	BIRC5
TEAD4	AXIN2
CREBBP	MITF
MAPK3	CDK4
RELA	CCL4L1
PIK3CB	AKT1
RBPJL	HES5
TP53	RPRM
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA13
NFYC	HLA-DQA1
MAPK1	IL18
MAPK1	TNF
MAPK3	NOS2
MAPK3	IL23A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RFXAP	LOC100507714
MAPK12	IL6
CREB5	AQP2
SP3	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP2	CD14
EGR1	COL2A1
SP3	COL2A1
USF1	FBP1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ERG	HMOX1
JUN	MT1A
SP1	NFKB2
PPARA	NFKBIA
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
