CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ETS1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	JUN
MAPK1	ATF2
MAPK1	ESR1
MAPK1	STAT3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD3
MAPK1	SMAD4
MAPK8	JUNB
MAPK1	CREB1
MAPK1	ELK1
CAMK2A	ATF1
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	MTOR
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
MTOR	HIF1A
PRKCA	HRAS
PRKCA	ATF2
PRKCA	PRKACA
PRKCA	CREB1
CREB3	ATF1
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	HHIP
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
NFKB1	CCND1
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DOB
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
FLI1	MMP9
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
