CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	SMAD3
MAPK1	SMAD4
SMAD2	WWTR1
PRKCA	RAF1
RAF1	RELA
MAPK1	TP53
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PRKCE	PPP1CA
PPP1CA	YAP1
PRKCE	ARAF
ARAF	MAPK1
MAPK8	SMAD4
PPP1CA	WWTR1
PRKCE	RAF1
MAPK8	TP53
HIF1A	PFKL
HIF1A	PGK1
ARNT	EGF
ARNT	FIGF
ARNT	FLT1
ARNT	LDHA
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
YAP1	BIRC2
YAP1	CCND1
YAP1	SNAI2
WWTR1	FGF1
WWTR1	BBC3
SMAD1	ID4
HNF1A	HNF4G
NFYA	LOC100507714
NFYA	LOC100509457
RFXAP	HLA-DOA
STAT1	EGFR
MYC	EIF4E
STAT5B	ESR1
ETS2	VWF
NFKB1	VWF
