PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
RXRA	THRB
THRB	HIF1A
CREBBP	SP1
CTNNB1	LEF1
LEF1	JUN
THRB	GATA4
GATA4	SRF
SRF	ETS1
RXRA	SREBF1
SREBF1	IRS2
IRS2	GRB2
GRB2	MAPK1
MAPK1	SMAD4
THRB	PIK3R5
PIK3R5	HRAS
HRAS	FOS
CTNNB1	EP300
HIF1A	ARNT
CREBBP	SMAD3
CTNNB1	MAGI2
MAGI2	MAPK8
MAPK8	JUND
CREBBP	STAT1
CREBBP	STAT3
MAPK8	JUNB
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
LEF1	PPARD
CREBBP	TP53
CREBBP	ATF2
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS3
NOS3	CREB1
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
MAPK1	ETS1
PRKCA	FOS
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
MAPK1	SMAD3
HRAS	MAPK8
MAPK1	STAT1
MAPK1	STAT3
MAPK1	NFKB1
MAPK1	RELA
MTOR	PPARG
PRKCA	PRKACA
SMAD4	LEF1
MAPK1	TP53
NOS3	ATF2
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
PRKCZ	MAPK1
AKT3	JUN
MAPK1	FOS
HIF1A	CREBBP
HIF1A	EP300
F2R	GNB5
GNB5	MAPK8
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
PIK3R5	MTOR
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
PARD3	F11R
F11R	TJP1
TJP1	CTNNB1
AKT3	ATF2
GLI3	BMP2
TFDP2	CCNE2
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
ARNT	PDK1
ARNT	PFKFB2
STAT4	SOCS2
STAT5B	SOCS1
LEF1	MITF
TP53	SESN2
TP53	TNFRSF10B
NFKB2	BIRC2
RXRB	PCK1
RXRG	FABP3
RXRG	ACSL6
RXRG	AQP7
RXRG	PLIN1
IRF7	IFNA14
JUN	IL6
NFKB1	IL12B
SPI1	ITGAM
NFYC	HLA-DQA2
MAPK3	IL18
RFX5	CD74
RFXAP	LOC100507709
RFXAP	HLA-DOA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
MYC	CCNB1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARA	MMP9
SPI1	NFKB1
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
