JUP	MYC
ATF6B	ARC
ATF4	ARC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
MAPK14	CXCL1
NFKB1	CCL5
MAPK12	IL8
MAPK9	JUN
CREBBP	PFKFB1
EP300	PFKFB1
HIF1A	PFKFB1
HIF1A	TFRC
ARNT	EDN1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	AREGB
YAP1	AXIN2
WWTR1	BIRC5
WWTR1	AREG
SMAD2	SERPINE1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
SOS1	SPRED3
STAT4	SOCS3
STAT5B	CCND3
MAPK1	CCND1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	NFKBIA
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
EPAS1	PDGFB
FOS	CDK4
NFKB1	TRAF5
NFKB2	TRAF2
FOXO3	RBL2
ATF4	BCL2
PPARA	CYP7A1
PPARD	CPT1B
PPARD	ACADL
PPARG	CYP27A1
RXRA	CYP7A1
RXRA	CYP27A1
RXRA	PLTP
RXRB	ACSBG1
RFX5	HLA-DOA
RFX5	HLA-DOB
USF2	APOC3
USF1	APOE
USF2	APOE
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
STAT3	CSRP1
MYC	CSTB
RELA	CTSB
SP1	DKC1
SP3	DKC1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
CEBPB	HP
TP53	IL8
CEBPA	ITGA2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
TFAP2A	POLD2
ATF1	PPP2R4
ATF2	PTGS2
SP1	SERPINE1
PAX8	TG
JUN	TNNC1
ERG	VIM
