DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	ATF4
PRKACA	CREB1
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUND
MAPK8	ELK1
ELK1	SPI1
MAPK8	TP53
PRKACA	NFKB1
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
PTK2B	SRC
SRC	CTNNB1
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	ATF4
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
RAC1	MAPK8
ETS1	SPI1
RAC1	NFKB1
NFKB1	TP53
CREB5	BDNF
TP53	GADD45G
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
SMAD3	CTGF
STAT5A	SOCS4
PAX6	PDX1
CREB1	HLA-DRB5
MAPK14	IL1A
MAPK14	IL6
MAPK14	IL12B
MAPK14	NOS2
MAPK14	TNF
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA13
MAPK1	NOS2
MAPK1	IL23A
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP3	ABCA1
CEBPB	ABCB1
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
SP1	CD9
TFAP2A	CDKN1A
USF1	CEACAM1
USF2	CEACAM1
ATF1	CGA
JUN	CYP11A1
CEBPB	IL4
BCL3	NFKB2
