DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREB1
MAPK8	ELK1
ELK1	EGR1
NFKB1	NFKB2
PRKACA	XBP1
XBP1	CEBPA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK8	TP53
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PPARA
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	MAPK1
MAPK1	SMAD2
MAPK8	SMAD3
MAPK8	SMAD4
PTK2B	RAC1
RAC1	MAPK1
SMAD2	SP1
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
RAC1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
MAPK1	JUN
RAC1	RELA
MAPK1	CREB1
MAPK1	ELK1
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
NFKB1	PPP2CA
PPP2CA	YAP1
NFKB1	TP53
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	PIK3R5
PIK3R5	MTOR
MAPK1	SMAD3
MAPK1	SMAD4
CREB3L3	NPY
CREB3L1	NPY
ATF6B	ARC
ATF4	ARC
TCF7L2	MYC
JUN	CCND2
CREB3	PCNA
ATF6B	IL8
EGR3	FASLG
MAPK10	JUN
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	FIGF
CREBBP	PFKFB3
CREBBP	TFRC
CREBBP	VEGFB
EP300	ENO1
EP300	FIGF
EP300	PFKFB3
EP300	TFRC
EP300	VEGFB
HIF1A	ENO1
HIF1A	FIGF
HIF1A	PFKFB3
HIF1A	TFRC
ARNT	EGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
STAT5A	CCND1
STAT6	MYC
HNF1A	HNF4G
BBC3	TP53
TP53	RRM2B
EPAS1	TGFB3
MYC	CKS2
RXRG	FABP3
IRF7	IFNA14
NFYA	HLA-DQB1
NFYA	HLA-DRB1
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
JUN	ALDOA
POU2F1	ALDOC
USF1	CCNB1
USF2	CCNB1
SP3	COL2A1
MYC	EIF4E
TFAP2A	ERBB2
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
SP1	IL2
STAT1	IL2RA
TP53	IL8
CEBPA	ITGA2
ATF1	PLAUR
MYBL2	RBL1
SP1	RELA
RARA	S100A8
RARG	S100A9
JUN	SFTPA1
MYBL2	SP1
USF2	SP1
POU2F1	SPP1
TFAP2A	TAF7
CREB1	TH
CREB1	TIMP1
FOS	TIMP1
STAT1	TIMP1
ATF1	TNF
SMAD2	TNNC1
MYC	TP53
HIF1A	TP53
STAT1	TP53
CREB1	TRH
ERG	VWF
