PPARA	TRIB3
TRIB3	AKT2
AKT2	NFKB1
NFKB1	TRAF6
TRAF6	MYD88
AKT2	RELA
AKT2	JUN
AKT2	RAF1
RAF1	MAPK14
RAF1	MAPK11
RAF1	MAPK13
AKT2	CREB1
AKT2	CHUK
CHUK	NFKB2
AKT2	ATF4
AKT2	CREB3
CREB3	FOS
AKT2	ATF2
NPAS2	RORA
NPAS2	RORB
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
NPAS2	NR1D1
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER1
CLOCK	RORA
CLOCK	RORB
TCF7L2	BIRC5
TCF7L2	CCND1
MAPK14	IL8
SOS1	SPRY1
SOS1	MYC
RELB	CXCL12
CREB1	AQP3
CREB1	ODC1
SP1	ODC1
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
TP53	PCNA
EGR1	PDGFB
ELK1	PDGFB
NFKB1	PDGFB
SP1	PDGFB
SP3	PDGFB
SP1	PLAU
TP53	PLK1
E2F4	POLE2
