PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	STAT3
CTNNB1	LEF1
LEF1	YAP1
YAP1	TP73
YAP1	SMAD7
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
CREBBP	SP1
CREBBP	CREB1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	STAT3
MAPK1	TP53
TP53	TP73
MAPK1	SMAD2
SMAD2	SMAD7
EHHADH	AOX1
AOX1	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
MAPK1	STAT1
MAPK1	NFKB1
SMAD2	SP1
GATM	NOS3
NOS3	CREB1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	MAPK1
PLG	F2R
F2R	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
PRKCZ	AKT3
AKT3	CREB1
RARA	CCNA1
STAT3	PIM2
STAT3	PIM1
STAT5A	PIM2
STAT5A	PIM1
STAT5B	PIM2
STAT5B	PIM1
SMAD2	CTGF
TEAD1	BIRC2
RXRB	APOC3
MYBL1	TSC22D3
SPI1	REL
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
SP1	HRAS
E2F4	HSP90B1
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
ESR1	HSPB1
SP1	HSPB1
