CACNA1B	INS
INS	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	TP53
MAPK1	CREB1
MAPK1	ETS1
MAPK1	ESR1
INS	IGF1R
IGF1R	PRKACA
PRKACA	PPARA
MAPK1	SMAD2
SMAD2	YAP1
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	CREB3
CREB3	ATF1
MAPK1	JUN
MAPK1	MYC
INS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
ATF6B	ARC
ATF4	ARC
GLI3	BMP2
HIF1A	TFRC
ARNT	EPO
ARNT	BCL2
ARNT	TF
ARNT	VEGFA
ARNT	HKDC1
STAT3	HIF1A
YAP1	FGF1
YAP1	ID1
YAP1	MYC
YAP1	AREGB
WWTR1	CTGF
WWTR1	BIRC5
SMAD1	ID2
SMAD2	SERPINE1
SMAD4	CTGF
STAT4	SOCS2
STAT5B	SOCS1
MAPK1	CDK4
RXRG	FABP4
IRF7	IFNA10
NFYA	LOC100509457
NFYB	HLA-DQA2
NFYC	HLA-DMA
MAPK1	IL1A
MAPK1	IL1B
MAPK9	IL1A
MAPK9	IL1B
MAPK9	IL6
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100507714
ELK1	TWF2
ETS2	TWF2
FLI1	POLR2A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
ETS1	DNTT
CREB1	HMOX1
TP53	IL8
CEBPA	ITGA2
PPARA	MMP9
