PPARG	RXRA
RXRA	THRB
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
THRB	HIF1A
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
MAPK1	CCND1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	MAPK1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
PRKCZ	AKT3
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
EP300	EDN1
EP300	PFKFB3
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
SMAD4	TIMP1
SMAD2	TNNC1
