ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	CREB1
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PIK3R5	AKT3
AKT3	JUN
HIF1A	EP300
PRKCA	MAPK1
MAPK1	STAT1
PRKCA	FOS
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUNB
HIF1A	ARNT
MAPK1	SMAD4
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CALML6	HRAS
HRAS	JUN
CAMK2A	EP300
CAMK2A	STAT1
HRAS	FOS
CACNA1C	INS
INS	PIK3R5
CREBBP	ARNT
INS	MAPK1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
CREB1	HLA-DPB1
MAPK11	IL12B
JUND	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
