AR	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	TP53
PRKACA	MAPK1
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
RUNX1	JUP
RUNX1T1	JUP
CREB1	IL8
SMAD3	MYC
ATF4	IL8
CREB5	PCNA
CREBBP	HK1
CREBBP	HK2
CREBBP	HKDC1
EP300	HK1
EP300	HK2
EP300	HKDC1
HIF1A	HK1
HIF1A	HK2
TCF7	NKD1
TCF7L2	CCND2
TEAD4	CCND3
TCF7L1	AXIN1
TEAD2	MYC
TCF7L2	MITF
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DQA1
ATF3	ASNS
CREB1	ATP1A1
NFIC	CYP17A1
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
CREB1	ICAM1
CREM	ICAM1
CREB1	REN
SPI1	SCARB2
SPI1	SERPINB1
ETS1	SPP1
EGR1	TFPI2
JUN	TFPI2
JUNB	TIMP1
EGR4	TNF
ELK1	TNF
NFIC	TP53
JUN	TXN
POU2F1	TXNRD1
