PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	XBP1
XBP1	CEBPA
MAPK8	ELK1
ELK1	EGR1
PRKACA	ATF2
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK8	SMAD3
SMAD3	YAP1
HIF1A	BCL2
ETS1	FIGF
ETS1	IL8
ETS1	MMP2
IRF1	IL12B
CREB3	MCL1
CREB1	MCL1
PPARA	APOC3
PPARA	SLC27A1
PPARA	ME1
PPARG	ANGPTL4
PPARG	ACSL5
PPARG	SCD
NFYA	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
RFX5	HLA-DOA
RFX5	HLA-DOB
MYB	TSC22D3
MYBL1	TSC22D3
ETV4	ERBB2
POU2F1	VWF
