TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	RELA
RAF1	NFKB1
NFKB1	TRAF6
TRAF6	MYD88
RHOA	MAPK8
MAPK8	JUN
RAF1	MAPK1
MAPK1	STAT3
STAT3	IRF1
MAPK8	FOS
RAF1	AKT3
AKT3	CHUK
CHUK	IRF7
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	RELA
MAP3K1	NFKB1
BCL2	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	THBS1
THBS1	ITGB1
ITGB1	SRC
SRC	STAT3
MAP3K1	MAPK8
MAP3K1	CHUK
SOS1	BCL2L1
NFKB1	CXCL2
NFKB1	NFKBIA
PIK3R5	PDPK1
PIK3CG	AKT2
TP53	ZMAT3
TP53	THBS1
RXRA	SCP2
RXRB	CPT2
RXRB	CYP8B1
RXRB	DBI
RXRB	EHHADH
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRG	NR1H3
RXRG	APOA5
RXRG	CPT1A
RXRG	CPT1B
CEBPA	ALB
SP1	ALB
STAT1	EGFR
