PTGFR	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	MAPK1
MAPK1	STAT1
HRAS	JUN
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ETS1
MAPK1	CREB1
MAPK1	SMAD3
HRAS	MAPK8
MAPK8	JUNB
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	BIRC5
ELK1	XIAP
CREB3	PCNA
SMAD3	MYC
MAPK8	JUN
CREB3L2	IL8
CREB3L1	PCNA
CREBBP	HK1
CREBBP	ANGPT4
CREBBP	BCL2
CREBBP	VEGFB
EP300	HK1
EP300	ANGPT4
EP300	BCL2
EP300	VEGFB
HIF1A	HK1
HIF1A	ANGPT4
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT5A	SOCS2
STAT6	CCND1
RXRB	APOC3
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB4
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
NFYC	HLA-DQA2
MAPK9	IL12B
RFXAP	HLA-DRB5
SP1	CDKN1C
SP1	COL4A2
SP1	ADA
WT1	BCL2
NFIC	C4BPB
ATF1	CALCA
CREB1	CALCA
USF1	CALCA
NFKB1	CYP11A1
SP1	CYP11A1
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
CEBPA	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	HMOX1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ETS2	PLAU
USF1	PTPN6
SP1	RELA
SPI1	SCARB2
PPARD	SERPINE1
EGR1	SOD1
USF2	SP1
EGR1	TFPI2
ATF1	TG
EGR1	THBS1
FOS	TIMP1
EGR4	TNF
ETS1	TNNC1
TFAP2A	TNPO1
HIF1A	TP53
JUN	TXN
PAX1	VHL
