AR	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	NFKB2
PRKACA	MAPK1
MAPK1	ELK1
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
CREBBP	SP1
ATF6B	ARC
ATF4	ARC
JUN	RELA
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
STAT3	VEGFA
EPAS1	PDGFB
NFKB2	XIAP
NFKB2	TRAF2
CREB5	MCL1
PPARA	CYP7A1
PPARD	ACOX3
PPARG	CYP27A1
RXRG	EHHADH
IRF7	IFNA8
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
CEBPB	ABCB1
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
