PPARG	RXRA
RXRA	THRB
THRB	HIF1A
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
CREBBP	CREB1
CREBBP	SP1
RXRA	SREBF1
SREBF1	IRS2
IRS2	GRB2
GRB2	MAPK1
MAPK1	SMAD4
CREBBP	SMAD3
CREBBP	STAT1
CTNNB1	LEF1
LEF1	JUN
THRB	PIK3R5
PIK3R5	HRAS
HRAS	FOS
THRB	GATA4
GATA4	SRF
SRF	ETS1
CREBBP	STAT3
CTNNB1	MAGI2
MAGI2	MAPK8
MAPK8	JUND
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
NOS3	CREB1
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
MAPK1	STAT1
NOS1	HRAS
HRAS	JUN
PRKCA	FOS
MAPK1	ETS1
MAPK1	STAT3
HRAS	MAPK8
MTOR	PPARG
PRKCA	PRKACA
SERPINE1	PLAT
PLAT	PLG
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PRKCZ	MAPK1
AKT3	JUN
MAPK1	FOS
F2R	GNB5
GNB5	MAPK8
PIK3R5	MTOR
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
EPAS1	TGFB1
JUN	VEGFC
MYC	CDK4
MAPK3	IL18
CREM	CCND1
POU2F1	CCND1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
