PPARG	RXRA
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
RXRA	THRB
THRB	HIF1A
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKCA	MTOR
MTOR	HIF1A
MTOR	PPARG
ALDH2	GATM
GATM	NOS3
NOS3	CREB1
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
PIK3R5	MTOR
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
CREB3L1	CRH
CREB3L4	PDYN
CREB3L2	PDYN
FOS	VEGFB
MYD88	IFNA8
MAPK3	IL18
RFXANK	HLA-DRB5
CREB3	AQP2
CREB3L4	AQP2
CREM	CCND1
POU2F1	CCND1
REL	IL2RA
STAT4	IRF1
CEBPA	IVL
