DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
PRKACA	CREB1
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
PTK2B	RAC1
RAC1	MAPK1
MAPK1	ELK1
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	JUN
MAPK1	CREB1
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
RAC1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
LEF1	MYC
TCF7	BIRC5
ATF6B	IL8
CREBBP	ENO1
EP300	ENO1
HIF1A	ENO1
PIK3CD	AKT3
RXRA	ACSL6
NFYA	LOC100507714
USF1	CCNB1
USF2	CCNB1
TFAP2A	HMOX1
EGR1	PLAU
ETS2	PLAU
RARA	S100A8
POU2F1	SPP1
STAT1	TIMP1
STAT1	TP53
