AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	ATF2
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
HRAS	JUN
HRAS	FOS
MAPK1	ETS1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PIK3R5
PIK3R5	HIF1A
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	MAPK14
MAPK14	CEBPB
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MYC
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
PRKACA	PPARA
CREB3L3	FOSB
CREB3L1	NPY
GLI3	WNT16
TP53	GADD45G
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CREB1	PCNA
MAPK10	SMAD4
CREBBP	CDKN1A
CREBBP	PFKFB4
EP300	CDKN1A
EP300	PFKFB4
HIF1A	CDKN1A
STAT4	CCND3
STAT5A	SOCS4
STAT5A	SOCS7
STAT5B	CCND2
STAT5B	SOCS5
STAT6	SOCS4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	UBC
RXRB	GK2
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	IL18
MAPK3	IL18
MAPK10	NOS2
MAPK10	IL23A
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM5
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
USF1	CTSB
SP1	CYP17A1
SP3	CYP17A1
ETS1	DNTT
RELA	IL2
STAT1	IL2RA
JUN	MMP7
BCL3	NFKB2
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
SP1	RPL10
POU2F1	SFTPA1
ETS2	SPP1
CREM	TH
JUND	TIMP1
SMAD3	TNNC1
NFKB1	TP53
