ADRA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	MYC
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
MAPK1	CREB1
MAPK1	TP53
MAPK1	FOXO3
MAPK1	ETS1
RUNX1	JUP
RUNX1T1	JUP
GLI3	HHIP
TCF7L1	MITF
TP53	TP53I3
NFKB1	VEGFB
STAT3	VEGFC
EPAS1	SLC2A1
EPAS1	TGFA
EPAS1	TGFB3
EPAS1	VEGFB
FOS	VEGFB
MAX	CKS2
MYC	CKS2
MYC	MMP2
MYC	VEGFB
NFKB2	BCL2
NFKB2	TRAF6
NFKB2	TRAF4
RELA	TRAF3
PIAS2	CDKN2B
ATF2	MCL1
FOXO3	BCL2L11
CREB3L1	MCL1
PPARA	APOA5
PPARA	EHHADH
PPARA	ACSL1
PPARA	ACSBG1
PPARA	HMGCS2
PPARA	ANGPTL4
PPARA	SCD5
PPARD	UCP1
PPARG	CPT1C
PPARG	ACSL3
PPARG	ACSBG1
PPARG	GK2
PPARG	MMP1
PPARG	SCD5
RXRA	SLC27A4
RXRA	ACSL3
NFYA	HLA-DPB1
NFYB	HLA-DRB1
MAPK1	IL6
RFXAP	HLA-DMB
USF2	XRCC6
JUN	ABCA1
SP3	ABCA1
NFIC	CGA
TFAP2A	CGA
CREB1	ICAM1
CREM	ICAM1
FLI1	MMP9
