CREB3L3	NPY
CREB3L1	FOSB
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
GLI3	WNT5A
LEF1	CCND1
ELK1	BIRC2
NFAT5	TNF
NFATC1	TNF
NFKB1	TNF
RELA	MMP9
CREB5	IL8
CREBBP	HMOX1
CREBBP	SERPINE1
CREBBP	PGF
CREBBP	VEGFC
EP300	HMOX1
EP300	SERPINE1
EP300	PGF
EP300	VEGFC
HIF1A	HMOX1
HIF1A	SERPINE1
ARNT	ENO2
ARNT	ALDOA
ARNT	SLC2A1
ARNT	TFRC
ARNT	VEGFB
NFKB1	HIF1A
YAP1	CTGF
YAP1	BBC3
YAP1	ITGB2
YAP1	SERPINE1
YAP1	CCND2
WWTR1	AFP
WWTR1	AREGB
SMAD1	ID3
SMAD3	CTGF
SMAD4	ID1
LEF1	CCND3
TCF7	NKD1
TCF7L2	BIRC2
TCF7L2	CCND2
TEAD1	SNAI2
TCF7L1	AXIN1
TEAD2	MYC
STAT5A	SOCS4
STAT5B	SOCS5
MAPK3	CCND1
VDR	S100G
NFKB1	NFKB2
NFKB1	CCL4
RELA	TRAF1
RELA	VCAM1
PIK3R5	AKT1
PIK3R5	AKT2
PIK3CD	PDPK1
PIK3CG	AKT1
PLCG2	EGFR
PIK3R3	AKT1
TP53	PERP
ETS1	MMP1
IRF1	IL12A
CREB3	BCL2
PPARA	ACADM
PPARA	LPL
PPARG	PCK2
PPARG	PLIN1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	ACOX3
RXRB	ILK
RXRG	EHHADH
IRF7	IFNA8
MAPK8	IL12A
MAPK8	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CALCA
E2F4	CAV1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
SP1	IL2
RELA	IL2RA
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
JUN	MT1A
ETS1	PLAU
ESR1	PTMA
TP53	RELA
SP1	SERPINB2
PPARA	SERPINE1
ETS1	SLC26A3
SP1	SPN
NFKB1	TFPI2
JUN	TFRC
HOXA5	TH
JUN	TIMP1
ETV4	TNF
ERG	TNNC1
SP3	TNNC1
JUN	TP53
USF1	TYMS
HIF1A	VHL
