TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	NFKB1
NFKB1	MYB
PRKACA	CREB1
MAPK8	TP53
PRKACA	RELA
MAPK1	ESR1
MAPK1	STAT3
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	SMAD3
SMAD3	E2F4
CREBBP	STAT5A
CREBBP	STAT5B
MAPK1	STAT1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	PPARA
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
MAPK1	NFKB1
GATM	NOS3
NOS3	CREB1
MAPK1	TP53
MAPK1	RELA
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD2	E2F4
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	SMAD3
NOS1	KRAS
KRAS	GRB2
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
GLI3	BMP2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
HIF1A	PGK1
ARNT	EDN1
ARNT	PDK1
YAP1	BIRC2
YAP1	ID3
YAP1	SNAI2
YAP1	AXIN2
WWTR1	BBC3
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
SOS1	SPRY3
STAT4	SOCS2
STAT5B	SOCS1
CREB3	MITF
TCF7L2	MITF
ETS1	VEGFC
RFXAP	HLA-DOA
ELK1	TWF2
ETS2	TWF2
SP1	COL4A2
USF2	ABCA1
TP53	CAV1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
USF1	CTSB
PPARA	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
NFKB1	VWF
