DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ELK1	EGR1
CREBBP	SP1
PTK2B	RAC1
RAC1	RELA
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PTK2B	SRC
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	MAPK1
MAPK1	ELK1
MAPK1	SMAD2
SMAD2	SP1
CREB3L2	PDYN
ETS1	FIGF
ETS1	IL8
NFKB2	TRAF5
IRF1	IL12B
CREB3	MCL1
PPARA	DBI
PPARA	APOC3
PPARA	SLC27A1
PPARG	ACSL1
PPARG	ANGPTL4
PPARG	ACSL5
NFYC	HLA-DQB1
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL6
STAT1	EGFR
JUN	FOSL1
CEBPA	IVL
