HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
MAPK1	MYC
HRAS	JUN
MAPK1	SMAD3
MAPK1	TP53
MAPK1	ETS1
RAF1	RELA
SMAD2	YAP1
MAPK1	SMAD4
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	CREB1
NFKB1	NFKB2
ETS1	SPI1
MAPK1	ETS2
SMAD4	LEF1
SMAD2	WWTR1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	FOS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	HIF1A
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKACA	CREM
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PRKACA	PPARA
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
CLOCK	RORA
CLOCK	RORB
TCF7L2	BIRC5
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
CREB1	PCNA
SMAD3	MYC
CREBBP	CDKN1A
CREBBP	HK1
EP300	CDKN1A
EP300	HK1
HIF1A	CDKN1A
HIF1A	HK1
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
STAT5A	CCND3
RELA	CCL4
RELA	TRAF2
RELB	CXCL12
PIK3CG	AKT3
PIK3R2	PDPK1
PIK3R3	AKT3
RBPJ	PTCRA
TP53	SHISA5
TP53	PTEN
RXRB	ME1
MAPK14	IL1A
NFYB	HLA-DPA1
NFYC	HLA-DQA2
MAPK11	IL12B
RFXAP	HLA-DOA
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
SP3	ABCA1
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
SP1	ADA
ATF1	AQP3
CREB1	AQP3
CREB1	ARG1
ATF3	ASNS
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
SP1	PDGFB
SP3	PDGFB
SP1	PLAU
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
SP1	RPL10
SPI1	SCARB2
ETS2	SPP1
EGR1	TFPI2
JUND	TIMP1
EGR4	TNF
NFKB1	TP53
JUN	TXN
NFKB1	VWF
