HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	MYC
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	SMAD4
HRAS	FOS
HRAS	JUN
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ETS1
MAPK1	STAT3
NFKB1	NFKB2
HRAS	MAPK3
SMAD4	LEF1
LEF1	PPARD
MAPK1	CREB1
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	SMAD3
CREBBP	EPAS1
LOC400927-CSNK1E	WWTR1
HRAS	MAPK14
MAPK14	MAX
SMAD2	E2F4
MAPK1	STAT1
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	PIK3R5
MAPK1	NFKB1
MAPK1	RELA
DRD2	PPP2CA
PPP2CA	YAP1
HIF1A	CREBBP
HIF1A	EP300
GNAI1	HRAS
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GNAI1	MAPK3
YAP1	LEF1
PPP2CA	PRKCA
PRKCA	EGLN2
EGLN2	EPAS1
PPP2CA	WWTR1
GNAI1	MAPK14
PPP2CA	STAT1
GLI2	WNT3A
ARNTL	BHLHE40
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7	BIRC5
TCF7L2	BIRC5
EGR3	FASLG
SMAD3	MYC
CREBBP	FIGF
CREBBP	HK1
EP300	FIGF
EP300	HK1
HIF1A	FIGF
HIF1A	HK1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	VEGFC
ARNT	EGF
ARNT	FIGF
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PFKL
ARNT	PGK1
TEAD1	SOX2
TEAD3	CTGF
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
HNF1A	HNF4G
TCF7L2	MITF
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	PDPK1
RBPJ	PTCRA
TP53	SHISA5
TP53	PTEN
RXRA	GK
RXRA	GK2
RXRA	ACADL
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL23A
RFXANK	HLA-DMA
CREB1	AQP3
CREB1	ARG1
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	EGFR
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
NFKB1	MMP3
TFAP2A	NRAS
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
ETS2	PLAU
SP1	PLAU
RARG	S100A9
SPI1	SCARB2
TFAP2A	TAF7
EGR1	TFPI2
ATF1	TNF
EGR4	TNF
CREB1	TRH
JUN	TXN
ETS1	VWF
ETS2	VWF
NFIC	VWF
