NR3C2	KRAS
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	ATF3
AR	PRKACA
PGR	PRKACA
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
SRD5A1	UGT2B11
UGT2B11	CYP2E1
SRD5A2	UGT2B11
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	PLCE1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	ADCY1
ADCY1	PRKACA
CACNA1D	CALML6
CACNA1F	PLCD3
PLCD3	PRKCA
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
CACNA1G	CALML6
CACNA1H	CALML6
CACNA1I	CALML6
MAPK1	IL12A
