GLI3	HHIP
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
JUN	NFKB1
LEF1	MYC
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
ATF6B	IL8
RELA	IL6
CREBBP	ENO1
CREBBP	PFKL
EP300	ENO1
EP300	PFKL
HIF1A	ENO1
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	FIGF
ARNT	HK2
ARNT	HK3
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT5A	SOCS4
STAT5B	SOCS5
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
TP53	BAI1
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MAPK1	IL6
RFXAP	HLA-DMA
RFXANK	HLA-DMA
SP1	COL4A2
USF2	B2M
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ESR1	CCND1
POU2F1	CCND1
TFAP2A	HMOX1
FLI1	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
CREB1	PLAT
EGR1	PLAU
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
RARA	S100A8
NFIC	SFTPC
POU2F1	SPP1
HOXA4	TH
STAT1	TIMP1
SMAD4	TNNC1
STAT1	TP53
