RRM1	PKM
PKM	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	CREBBP
CREBBP	SP1
MAPK8	TP53
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	RELA
MAPK8	ELK1
ELK1	EGR1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	MYC
RAPGEF3	MAPK14
MAPK14	MAX
MAPK1	STAT3
PRKACA	MAPK3
PKM	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK8	FOS
MAPK1	ESR1
PRKACA	CREB1
LEF1	PPARD
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	CREM
CREBBP	STAT5A
CREBBP	STAT5B
MAPK1	STAT1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	ATF2
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	SMAD3
SMAD3	SMAD7
NFKB1	NFKB2
MAPK8	JUND
MAPK1	ETS2
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PPP1CA	WWTR1
TYMS	ITPA
ITPA	ADCY1
ITPA	NPR1
CMPK1	ITPA
CMPK1	UMPS
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT1
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
MYC	CCND1
CREBBP	FASLG
ATF6B	IL8
EGR3	FASLG
CREBBP	EGF
CREBBP	ENO1
CREBBP	FIGF
EP300	EGF
EP300	ENO1
EP300	FIGF
HIF1A	EGF
HIF1A	ENO1
HIF1A	FIGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	VEGFA
ARNT	EGF
ARNT	ENO1
ARNT	LDHA
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TCF7	SOX2
TCF7L2	AXIN1
TEAD1	BIRC5
TEAD1	AXIN2
TEAD4	CTGF
TEAD4	SNAI2
TEAD4	AXIN2
TEAD3	GLI2
TEAD3	CCND1
TEAD3	CCND2
TCF7L1	BIRC2
TCF7L1	CCND2
TEAD2	GLI2
TEAD2	SOX2
TEAD2	CCND2
FOXO1	G6PC
FOXO1	PCK1
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
HNF1A	HNF4G
CREB3L4	MITF
MAPK3	CDK4
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	ACADL
RXRA	APOA2
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB5
MAPK14	IL1A
MAPK14	IL6
MAPK14	IL12B
MAPK14	NOS2
MAPK14	TNF
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA21
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF2	ABCA1
USF1	CCNB1
USF2	CCNB1
SP1	CD9
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
USF1	CTSB
TFAP2A	ERBB2
BRCA1	ESR1
SP1	ESR1
STAT5B	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
NFIC	PLAT
USF1	S100A6
RARA	S100A8
RARG	S100A9
LEF1	SPP1
POU2F1	SPP1
TFAP2A	TAF7
SP1	TIMP1
STAT1	TIMP1
ATF1	TNF
PAX8	TP53
STAT1	TP53
CREB1	TRH
ETS1	VWF
ETS2	VWF
NFIC	VWF
