HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	RAF1
RAF1	NFKB1
MAPK1	SMAD2
SMAD2	SMAD7
MAPK1	STAT3
PRKCA	HRAS
HRAS	JUN
RAF1	RELA
PRKCA	FOS
RUNX1	JUP
RUNX1T1	JUP
ATF2	IL8
CREBBP	FASLG
MAPK8	SMAD4
CREBBP	CDKN1B
CREBBP	EGF
CREBBP	PDK1
EP300	CDKN1B
EP300	EGF
EP300	PDK1
HIF1A	CDKN1B
HIF1A	EGF
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
MYD88	IFNA17
MYD88	IFNB1
MAPK12	IL6
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	HSP90AB1
SP1	CTSL
CREB1	ICAM1
CREM	ICAM1
SP1	RPL15
USF1	S100A6
PPARG	SERPINE1
ETV4	SPP1
LEF1	SPP1
CREB1	TG
SMAD3	TIMP1
SP1	TIMP1
FLI1	TNNC1
PAX2	TP53
PAX8	TP53
TFAP2A	VHL
