AR	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
MAPK1	JUN
MAPK1	ETS1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	RELA
PRKACA	CREB1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	XBP1
XBP1	CEBPA
GLI3	WNT16
TFDP2	CCNE2
TCF7L2	MYC
CTNNB1	CCND2
NFKB1	TNF
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB4
HIF1A	SERPINE1
STAT5A	SOCS7
STAT5A	CCND1
STAT6	SOCS4
STAT6	MYC
MITF	TYRP1
LEF1	MITF
RXRB	GK2
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK8	IL18
MAPK10	IL23A
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
RFXAP	LOC100507714
POU2F2	REL
SP3	COL2A1
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUN	MMP7
SPI1	NFKB1
ATF1	PLAUR
USF2	PTGS2
PPARA	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
CREM	TH
ERG	TNNC1
SMAD3	TNNC1
HIF1A	VHL
